noun_form,plural_form,of,of_the,is_cprefix,verb_form,standalone,has_object,adjective_form,pluralizing
awakening,awakenings,y,,,awaken,y,y,,
hope,hopes,y,,,,,,,
community,communities,y,,y,,,,,
brook,brooks,,y,,,,,,
river,rivers,,y,,,,,,
creek,creeks,,y,,,,,,
,,,,,,,,two,y
,,,,,,,,three,y
,,,,,,,,five,y
willow,willows,,y,,,,,,
,,,,,,,,first,
,,,,,,,,second,
,,,,,,,,third,
,,,,,,,,fourth,
eagle,eagles,,y,,,,,,
redeemer,redeemers,,y,,redeem,y,y,redeeming,
faith,faiths,y,,,,,,faithful,
calvary,calvaries,y,,,,,,,
bethlehem,bethlehems,y,,,,,,,
eternity,eternities,y,,,,,,eternal,
life,lives,y,,,,,,living,
word,words,,y,,,,,,
christ,christs,y,,,,,,,
journey,journeys,,y,,,,,,
,,,,,,,,new,
grace,graces,y,,,,,,,
mercy,mercies,y,,,,,,merciful,
shepherd,shepherds,,y,,,,,,
valley,valleys,,y,,,,,,
spirit,spirits,,y,,,,,,
fellowship,fellowships,y,y,,,,,,
bible,bibles,,y,y,,,,,
god,gods,y,,,,,,,
liberty,liberties,y,,,,,,,
resurrection,resurrections,y,y,,resurrect,y,y,,
immanuel,immanuels,,y,,,,,,
trinity,trinities,,y,,,,,,
,,,,,,,,holy,
bethel,bethels,y,,,,,,,
,,,,,,,,christian,
King of Kings,Kings of Kings,,y,,,,,,
lord,lords,,y,,,,,,
,,,,,arise,y,,risen,
crossroads,crossroads,y,y,,,,,,
glory,glories,y,,,,,,glorious,
peace,peaces,y,,,,,,peaceful,
zion,zions,y,,,,,,,
point,points,,y,,,,,,
revival,revivals,y,y,,revive,y,y,,
discovery,discoveries,y,,,discover,y,,discovered,
ebenezer,ebenezers,,y,,,,,,
kingdom,kingdoms,,y,y,,,,,
Prince of Peace,Princes of Peace,,y,,,,,,
alliance,alliances,,y,y,,,,,
joy,joys,y,,,,,,joyful,
bridge,bridges,,y,,,,,,
connection,connections,y,,,connect,y,,connected,
family,families,y,,,,,,,
cornerstone,cornerstones,,y,,,,,,
,,,,,deepen,y,y,deep,
rock,rocks,,y,,,,,,
haven,havens,,y,y,,,,,
gospel,gospels,,y,y,,,,gospel,
,,,,,,,,east,
,,,,,,,,west,
,,,,,,,,north,
,,,,,,,,south,
alleluia,alleluias,,y,,,,,,
love,loves,y,,,love,y,y,loving,
deliverer,deliverers,,y,,deliver,y,y,delivered,
refuge,refuges,y,y,y,,,,,
hosanna,hosannas,,,,,,,,
legacy,legacies,,y,,,,,,
water,waters,y,y,,,,,,
ridge,ridges,,y,,,,,,
blessing,blessings,y,y,,bless,y,y,blessed,
,,,,,exalt,y,y,exalted,
triumph,triumphs,y,,,triumph,y,,triumphant,
cross,crosses,,y,,,,,,
freedom,freedoms,y,,,,,,free,
city,cities,,y,,,,,,
gateway,gateways,,y,,,,,,
village,villages,,y,y,,,,village,
day,days,,y,,,,,,
mission,missions,,y,y,,,,,
victory,victories,y,,,,,,victorious,
tree,trees,,y,,,,,,
merge,merges,,y,,merge,y,,,
mountain,mountains,,y,,,,,,
,,,,,,,,people's,
covenant,covenants,,y,,,,,covenant,
cove,coves,,,,,,,,
vineyard,vineyards,,y,y,,,,,
collective,collectives,,y,,,,,,
song,songs,y,,,,,,,
hill,hills,,y,,,,,,
pine,pines,,y,,,,,,
cedar,cedars,,y,,,,,,
grove,groves,,y,,,,,,
oak,oaks,,y,,,,,,
maple,maples,,y,,,,,,
spring,springs,,y,,,,,,
awe,awes,y,,,,,,awesome,
velocity,velocities,y,,,,,,,
well,wells,,y,,,,,,
fount,founts,,y,,,,,,
edge,edges,,y,,,,,,
flood,floods,,y,,,,,,
,,,,,,,,center,
revolution,revolutions,,y,,,,,,
elevation,elevations,,y,,elevate,y,y,,
celebration,celebrations,y,y,,celebrate,y,y,,
resolution,resolutions,y,,,,,,,
encounter,encounters,,y,,encounter,y,y,,
echo,echoes,,y,,,,,,
,,,,,resonate,y,,,
restoration,restorations,y,y,y,restore,y,y,restored,
mosaic,mosaics,,,,,,,,
sanctuary,sanctuaries,y,,,,,,,
harbor,harbors,,y,,,,,,
,,,,,,,,solid,
,,,,,intersect,y,,,
branch,branches,,y,,,,,,
road,roads,,y,,,,,,
flame,flames,,y,,,,,aflame,
,,,,,ignite,y,y,,
,,,,,dwell,y,,,
lighthouse,lighthouses,,y,,,,,,
oasis,oases,,y,,,,,,
,,,,,submerge,y,,,
experience,experiences,,,,experience,y,y,,
catalyst,catalysts,,,,,,,,
,,,,,engage,y,,,
embrace,embraces,,y,,embrace,y,y,,
jesus,jesuses,y,,y,,,,jesus,
vision,visions,y,y,,,,,,
sky,skies,,y,,,,,,
memorial,,,,,,,,,
